ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
O14672	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	TISSUE SPECIFICITY: Expressed in the brain (at protein level) (PubMed:23676497). Expressed in spleen, lymph node, thymus, peripheral blood leukocyte, bone marrow, cartilage, chondrocytes and fetal liver (PubMed:11511685, PubMed:9016778). {ECO:0000269|PubMed:11511685, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:9016778}.	adherens junction organization [GO:0034332]; amyloid precursor protein catabolic process [GO:0042987]; cell-cell signaling [GO:0007267]; cochlea development [GO:0090102]; constitutive protein ectodomain proteolysis [GO:0051089]; epidermal growth factor receptor ligand maturation [GO:0038004]; extracellular matrix disassembly [GO:0022617]; in utero embryonic development [GO:0001701]; integrin-mediated signaling pathway [GO:0007229]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte activation [GO:0042117]; negative regulation of cell adhesion [GO:0007162]; negative regulation of gene expression [GO:0010629]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of T cell chemotaxis [GO:0010820]; postsynapse organization [GO:0099173]; protein catabolic process at postsynapse [GO:0140249]; protein phosphorylation [GO:0006468]; protein processing [GO:0016485]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of postsynapse organization [GO:0099175]; regulation of vasculature development [GO:1901342]; response to tumor necrosis factor [GO:0034612]; toxin transport [GO:1901998]	adherens junction [GO:0005912]; axon [GO:0030424]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; specific granule membrane [GO:0035579]; synaptic membrane [GO:0097060]; tertiary granule membrane [GO:0070821]; tetraspanin-enriched microdomain [GO:0097197]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}.	O14672	0.7857945077478791	northstar-vital	0.308770293469525
O14745	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	TISSUE SPECIFICITY: Detected in liver, kidney, pancreas, prostate, spleen, small intestine and placenta, in particular in the syncytiotrophoblast. {ECO:0000269|PubMed:9096337, ECO:0000269|PubMed:9314537}.	actin cytoskeleton organization [GO:0030036]; adenylate cyclase-activating dopamine receptor signaling pathway [GO:0007191]; auditory receptor cell stereocilium organization [GO:0060088]; bile acid secretion [GO:0032782]; cerebrospinal fluid circulation [GO:0090660]; cilium organization [GO:0044782]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of Golgi localization [GO:0051683]; fibroblast migration [GO:0010761]; gamma-aminobutyric acid import [GO:0051939]; gland morphogenesis [GO:0022612]; glutathione transport [GO:0034635]; import across plasma membrane [GO:0098739]; intracellular phosphate ion homeostasis [GO:0030643]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; microvillus assembly [GO:0030033]; morphogenesis of an epithelium [GO:0002009]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of sodium ion transport [GO:0010766]; nuclear migration [GO:0007097]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; plasma membrane organization [GO:0007009]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of protein kinase activity [GO:0045859]; regulation of renal phosphate excretion [GO:1903402]; renal absorption [GO:0070293]; renal phosphate ion absorption [GO:0097291]; renal sodium ion transport [GO:0003096]; sensory perception of sound [GO:0007605]; transport across blood-brain barrier [GO:0150104]; Wnt signaling pathway [GO:0016055]	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; membrane [GO:0016020]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane protein complex [GO:0098797]; ruffle [GO:0001726]; sperm midpiece [GO:0097225]; stereocilium tip [GO:0032426]; vesicle [GO:0031982]	beta-2 adrenergic receptor binding [GO:0031698]; beta-catenin binding [GO:0008013]; channel activator activity [GO:0099103]; chloride channel regulator activity [GO:0017081]; dopamine receptor binding [GO:0050780]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; growth factor receptor binding [GO:0070851]; identical protein binding [GO:0042802]; myosin II binding [GO:0045159]; PDZ domain binding [GO:0030165]; phosphatase binding [GO:0019902]; protein self-association [GO:0043621]; protein-containing complex binding [GO:0044877]; protein-membrane adaptor activity [GO:0043495]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; type 2 metabotropic glutamate receptor binding [GO:0031799]; type 3 metabotropic glutamate receptor binding [GO:0031800]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Apical cell membrane {ECO:0000250}. Endomembrane system; Peripheral membrane protein. Cell projection, filopodium. Cell projection, ruffle. Cell projection, microvillus. Note=Translocates from the cytoplasm to the apical cell membrane in a PODXL-dependent manner. Colocalizes with CFTR at the midpiece of sperm tail (By similarity). Colocalizes with actin in microvilli-rich apical regions of the syncytiotrophoblast. Found in microvilli, ruffling membrane and filopodia of HeLa cells. Present in lipid rafts of T-cells. {ECO:0000250}.	O14745	-0.436551306921167	northstar-vital	0.5505776714582651
O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)		Arp2/3 complex-mediated actin nucleation [GO:0034314]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; tubulobulbar complex [GO:0036284]	actin binding [GO:0003779]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11741539, ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947}.	O15143	-1.36416543852076	northstar-vital	0.0596048323595895
O15144	ARPC2	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)		actin filament polymerization [GO:0030041]; actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; muscle cell projection membrane [GO:0036195]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000269|PubMed:29925947}.	O15144	-0.863460887520095	northstar-vital	0.136430349553403
O15145	ARPC3	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)		actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cellular response to nerve growth factor stimulus [GO:1990090]; regulation of actin filament polymerization [GO:0030833]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; growth cone leading edge [GO:0061850]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Cell projection {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Nucleus {ECO:0000269|PubMed:29925947}.	O15145	-1.5789191879050402	northstar-vital	0.1666799850919069
O43175	PHGDH	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)		brain development [GO:0007420]; G1 to G0 transition [GO:0070314]; gamma-aminobutyric acid metabolic process [GO:0009448]; glial cell development [GO:0021782]; glutamine metabolic process [GO:0006541]; glycine metabolic process [GO:0006544]; L-serine biosynthetic process [GO:0006564]; neural tube development [GO:0021915]; neuron projection development [GO:0031175]; regulation of gene expression [GO:0010468]; spinal cord development [GO:0021510]; taurine metabolic process [GO:0019530]; threonine metabolic process [GO:0006566]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]	electron transfer activity [GO:0009055]; L-malate dehydrogenase activity [GO:0030060]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]		O43175	-0.178233176009293	northstar-vital	0.563750338107556
O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]	enzyme regulator activity [GO:0030234]		O43242	-0.6925135325084449	northstar-vital	0.6724965846529279
O43488	AKR7A2	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	TISSUE SPECIFICITY: Detected in brain, liver, small intestine and testis, and at lower levels in heart, prostate, skeletal muscle and spleen. Detected in kidney proximal and distal tubules, endothelial cells lining the Bowman's capsules and some cysts. Detected at low levels in lung and pancreas (at protein level). Widely expressed. {ECO:0000269|PubMed:10510318, ECO:0000269|PubMed:9576847}.	carbohydrate metabolic process [GO:0005975]; cellular aldehyde metabolic process [GO:0006081]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; lipid metabolic process [GO:0006629]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]	alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; electron transfer activity [GO:0009055]; phenanthrene-9,10-epoxide hydrolase activity [GO:0019119]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}. Golgi apparatus {ECO:0000250|UniProtKB:Q8CG45}. Cytoplasm {ECO:0000269|PubMed:9576847}.	O43488	-0.269327378258005	northstar-vital	0.7789617183570409
O43633	CHMP2A	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)		autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; endosome transport via multivesicular body sorting pathway [GO:0032509]; ESCRT III complex disassembly [GO:1904903]; establishment of protein localization [GO:0045184]; exit from mitosis [GO:0010458]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; membrane fission [GO:0090148]; membrane invagination [GO:0010324]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; multivesicular body assembly [GO:0036258]; multivesicular body sorting pathway [GO:0071985]; multivesicular body-lysosome fusion [GO:0061763]; negative regulation of centriole elongation [GO:1903723]; nuclear membrane reassembly [GO:0031468]; nucleus organization [GO:0006997]; plasma membrane repair [GO:0001778]; positive regulation of exosomal secretion [GO:1903543]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; vesicle fusion with vacuole [GO:0051469]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702]; viral release from host cell [GO:0019076]	amphisome membrane [GO:1904930]; autophagosome membrane [GO:0000421]; chromatin [GO:0000785]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; extracellular exosome [GO:0070062]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; membrane coat [GO:0030117]; midbody [GO:0030496]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; plasma membrane [GO:0005886]	phosphatidylcholine binding [GO:0031210]; protein domain specific binding [GO:0019904]	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}; Peripheral membrane protein {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}; Cytoplasmic side {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}. Nucleus envelope {ECO:0000269|PubMed:28242692}. Note=Localizes to the midbody of dividing cells. Localized in two distinct rings on either side of the Fleming body. Localizes to the reforming nuclear envelope on chromatin disks during late anaphase (PubMed:28242692). {ECO:0000269|PubMed:28242692}.	O43633	-0.0199817053195569	northstar-vital	0.9798951484221
O43707	ACTN4	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:9508771}.	actin cytoskeleton organization [GO:0030036]; muscle cell development [GO:0055001]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; positive regulation of cell migration [GO:0030335]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sodium:proton antiporter activity [GO:0032417]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]	actin cytoskeleton [GO:0015629]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; nuclear receptor binding [GO:0016922]; nuclear receptor coactivator activity [GO:0030374]; nuclear retinoic acid receptor binding [GO:0042974]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]; transmembrane transporter binding [GO:0044325]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.	O43707	-0.1811286961560319	northstar-vital	0.7853787618225742
